node,total_fee,capacity
029dd81c32e3ea839b4b2f8edcc9bea227c40fa2c6509878034401a8ce2a8bac05,3450,60371094
02fcc80a433aa1c5c7e9723ab66025c88fe5bc08725df067de917a2cf275a3271b,1000,19223822
039efdf7a40f848d9fe30f1ab97b297c06f96fde1992ece0eca7639711ecac5a93,506,314848620
03b81e2ba0037abe5f136872a44606e90fd515b71940268537fd7e325f4236a932,300,3258100
0387a9f2ecf06694f5f9c528e05f74c3a74b270b284ff26a218175893f6d99a1e2,300,5000000
03011e480a671ac71dbc3fc3e8fe0db32bb9a10cc4d824663e09557d446ef80679,138,425769901
0240da42ab512c014bf87262334a9484d6d9d5bdb6774ec28c5f78ca03712660f5,45,49772480
03d5d62dc620503a4cdd3c2782af29524d529dcf2bacc739b5ca57e50b9696eaee,1424,87860302
02a4002deca0ad6781b1c55ea5c692faae768fef44e1997c5723cb5393a98709ae,3364,875868885
02053ebe088cc90493e9f1cefa343a2dc84102933450a21b95d7e3dd5d5d645c34,0,6100000
02be0aac085285e3b967b6e7d9531536d153195038a71a5bdaeb9cb3c70a13c9a9,541,53233019
02719ddac30c16dd856bb61ec4a52a5984d345da078c1855baeef856976e9f312a,259,164669420
0377a56addffdfe9d8d7a74946458081fe56dd17755635bc48b80381773c1b6d7e,404,80226427
02f40890af885da4673f0ee9725ee74bb2c66d6491cc4334056a2701057993e61d,697,189470432
03e636b6ebbf4b6ecbfdc57fd3a4f280a444f0f22d9fc3f29b590b3e1d676b8dff,1326,163661947
029c817ba7797ede1ef9bb77ef9de059516dd37b2dd3ba15e5baa18971ccedbdae,150,30277018
02e9a5bc151bed9314f10d02772413cc3e96168cb4320f992bfa483865133dc28d,3341,230688552
03a0fbf509a4c1f14647934988c7b484da8ab6090e81d015c6746ecd1134a37207,350,25174836
034f0ae5dc0690681fe77ad005c485049b8dd97c0b8fce515b5cf82fdb38d487c9,11473,928707345
035c709aae4bcb860ebf07da75e6454172ce27b0dc2131c7263479696e2f1fe6bd,20,26306609
033e7e466c56c51f53723fb966674db881b5aae8907e22170d630fb1b149f55ee3,10064,435277215
032d4baebebfdeab7a2ecef2fbe109cbef10de95f05aa54090fdb687789547dbf5,189,173908166
03d9036df37d501956ed0bce20bf4fddb1ba3b2558f7b16abaeea579a7beec45d3,1850,163300000
03ec512342aeee370b53d9fd12dbd5283dcd670d248018b3a1cf537313e76e6a2d,676,1230356546
0286e50ebeaafdf7dc321f6c8cb7e964e236b03ed67494b6337215c5c3c42252f2,246,108521890
03910da61c1b42e135f134ed92a537c758d1edac5436efbec5ee8cec1928e1a095,400,335804966
03a7c350de3b9a11313e93c1fc3f21a1d131547b71ac2dac5966545076f535bae7,1012,34544583
02f6d5e9753b32ddd3c5f7f434e41c641f91fefa98de0de418a33a9217bb111846,6129,729410402
02b39b76e521ef420d232dc8bb2cd7599b06bf8732d91bb516ef7f1d86914145e8,4023,138554430
0284a249ee165723f01ae08dc340f9f60bcbce8dda2140401f1bd7548ef11dd5e6,1009,607519842
029840efe36091a38e1506f82a729bb0f2f33ca6d7cebdd3539bfe92efd3fbd4a5,0,39704861
0349cb2f33d5542432b016405a22dfda18617d87abe4718e61c45909b8a5449329,3000,292954278
033e9ce4e8f0e68f7db49ffb6b9eecc10605f3f3fcb3c630545887749ab515b9c7,200,9501833156
0288874b9510d93e476005ba1bb33765ac87155a4acfd232b821a6c7ee55159521,4150,23053873
02136231c8dedc8c0cb5d6a47d2d4bd6ca497d503c0c8a9cce64095ed18e373650,0,13600000
02bd87708b2aa5a12c72d8ffa1f2ff4fe60119fb88ad3e517863d9ab2e06ea5929,115,72902000
