node,total_fee,capacity,routed_payments,ratio,ROI
03b211f8a4a9cd40c9a1b5626bb8b0f1ca66b36e6b4fddd2723c67683d6f8d1ec7,300,68312500,1,4.391582799634035e-06,MEDIUM
036ff83834666d3ebfe61c2a7d1f8fc5d6b339a26559a61819e2b0d1b5f540fdfc,200,55019428,2,3.6350795940663e-06,MEDIUM
038baffac55a282ae73e0627146a12a345f7beccb90dec07280e8b970a072849cf,201,51642406,1,3.892150183707552e-06,MEDIUM
03037dc08e9ac63b82581f79b662a4d0ceca8a8ca162b1af3551595b8f2d97b70a,2020,16172789550,7,1.2490114916508018e-07,LOW
02f1a8c87607f415c8f22c00593002775941dea48869ce23096af27b0cfdcc0b69,21170,13921120783,7,1.5207108917445846e-06,LOW
037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,2030,8734397330,6,2.3241443265095889e-07,LOW
03d607f3e69fd032524a867b288216bfab263b6eaee4e07783799a6fe69bb84fac,7510,8713234849,7,8.619072170265108e-07,LOW
035e4ff418fc8b5554c5d9eea66396c227bd429a3251c8cbc711002ba215bfc226,8480,6619676108,8,1.281029443381945e-06,LOW
033e9ce4e8f0e68f7db49ffb6b9eecc10605f3f3fcb3c630545887749ab515b9c7,9090,5236513957,33,1.7358876677582012e-06,LOW
039d38adaa66554f2079cea57149b85b55df35feb6a54a8bace32898558fea8a4e,6095,4225757269,16,1.4423450312001343e-06,LOW
035f5236d7e6c6d16107c1f86e4514e6ccdd6b2c13c2abc1d7a83cd26ecb4c1d0e,33,3919153985,6,8.420184592466325e-09,LOW
03abf6f44c355dec0d5aa155bdbdd6e0c8fefe318eff402de65c6eb2e1be55dc3e,1445,2871684733,11,5.03188941109992e-07,LOW
0326e692c455dd554c709bbb470b0ca7e0bb04152f777d1445fd0bf3709a2833a3,7730,2747327547,10,2.813643392627476e-06,LOW
028d98b9969fbed53784a36617eb489a59ab6dc9b9d77fcdca9ff55307cd98e3c4,5370,1986524023,3,2.70321422637032e-06,LOW
0303a518845db99994783f606e6629e705cfaf072e5ce9a4d8bf9e249de4fbd019,2510,1983586144,5,1.265384922954977e-06,LOW
03fb822818be083e0a954db85257a2911a3d55458b8c1ea4124b157e865a836d12,5020,1850976387,4,2.712082139597819e-06,LOW
037e27d212432eaf499e4fb648d996944f3454c094dab36336bac573f82211a335,3030,1732577387,6,1.7488396320619876e-06,LOW
03b006c37dfb8681e5db9f513386d06c9d18bd514fae5d79a7ed2d5991c7d57330,20,1566352160,2,1.2768520713758265e-08,LOW
03da1c27ca77872ac5b3e568af30673e599a47a5e4497f85c7b5da42048807b3ed,1010,1511997130,1,6.679906859347015e-07,LOW
03bc9337c7a28bb784d67742ebedd30a93bacdf7e4ca16436ef3798000242b2251,1010,1491241407,2,6.772880603093393e-07,LOW
033b63e4a9931dc151037acbce12f4f8968c86f5655cf102bbfa85a26bd4adc6d9,2866,1485701102,7,1.9290555793099224e-06,LOW
039edc94987c8f3adc28dab455efc00dea876089a120f573bd0b03c40d9d3fb1e1,3030,1414621170,3,2.1419161993737166e-06,LOW
02bb24da3d0fb0793f4918c7599f973cc402f0912ec3fb530470f1fc08bdd6ecb5,1010,1362481098,3,7.412946876713294e-07,LOW
024271a1be2d7a3e2a276b241257be734d843885d252f50575e4c7db2691aedd3a,1010,1281805265,1,7.879512025564975e-07,LOW
03d1e805c38257b713340049745ff5a15d9ee5d733517a1d48a956815c9482055c,2030,1237508990,14,1.6403921235351996e-06,LOW
03263f34611bc9455452cf32ef31ced3a55b9184e65dee52287cdfdc1493d7dc11,90,1213589732,5,7.416015283161608e-08,LOW
031ce29116eab7edd66148f5169f1fb658fad62bdc5091221ab895fe5d36db00b2,1930,1099654733,4,1.7550963425899246e-06,LOW
02fe6a27ddcb2dd9fa8479fe1d52549b5932079a493b51f1409fa2c5878f1bc07c,1020,1058742594,2,9.634069751991103e-07,LOW
02ff30e83896d453cfc89ff4dd06d23d793b7246f154c210324adc1d42c849ce74,10,1026370114,2,9.743074027192494e-09,LOW
02bce4f7ae5b2d51c18575b3f277e296d9df800a54d749d7a3145c9e40237e4011,1391,993099107,38,1.400665845125969e-06,LOW
03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,1110,965099606,3,1.150140351419851e-06,LOW
028a8e53d70bc0eb7b5660943582f10b7fd6c727a78ad819ba8d45d6a638432c49,1010,913881254,1,1.105176406211742e-06,LOW
0203e5b16ebe87b089f22e18752f1f7a66a1bdf77879df8d1c9e8d912dbfb9beb4,1040,892983724,8,1.1646348886869522e-06,LOW
03e5ea100e6b1ef3959f79627cb575606b19071235c48b3e7f9808ebcd6d12e87d,110,879230995,1,1.2510932920420986e-07,LOW
020c92d71dfe47d49d322eed910064787973dff96c05a39d75a75d7e8f33aead4c,1380,839995049,3,1.642866825992447e-06,LOW
039311d5a11e1df479bfc695b09127f7920e66dacfb19f0ef20a28a2a7959f0080,40,834326315,4,4.7942872328077056e-08,LOW
03501a74753e0f6ae270a1e4e2ffbbc37f7a796360e650c1121c18e116b22ac106,1600,786513186,7,2.0342952012504465e-06,LOW
036cb1a035eb1c7f125c004ed046d329285bd57e4100f18b577af721659becd832,400,680155649,2,5.881006804664501e-07,LOW
03b9aacb265dc5ebde04b91b28f7c8bb6ba0af146e5f37426915742daf8f195a09,2010,658387339,4,3.0529141144374283e-06,LOW
035715b716b8d61b31992256194f119e1cd7f86b5a15f66ca4cc3798d341d6a99a,22,634814177,1,3.465581078224723e-08,LOW
03f3b0ff236bca0cc9cb2c4550ba358462a4892349382e695c538f3e891a6639e5,20,633496996,2,3.15707890112868e-08,LOW
0317983322379d859c0d43a90c8dcd3e7239b8e0671b00a657ce3924d4498f3754,1010,627724556,1,1.6089859642196313e-06,LOW
02dfe525d9c5b4bb52a55aa3d67115fa4a6326599c686dbd1083cffe0f45c114f8,1010,575260093,1,1.7557275609591083e-06,LOW
03f94b8e82c3c9be8f8d1e3bcb595e2855b72f23b92967c26f7d65be9a75184c12,1010,497007204,1,2.032163702802183e-06,LOW
037f66e84e38fc2787d578599dfe1fcb7b71f9de4fb1e453c5ab85c05f5ce8c2e3,220,446134192,2,4.931251716299745e-07,LOW
0265c5055ce6b44275e4f0d49ef3f6aa856ead0b9c00abe69a087fd1a5f68c6a77,120,393963161,10,3.0459700773900534e-07,LOW
0380ef0209ff1b46c38a37cd40f613d1dae3eba481a909459d6c1434a0e56e5d8c,10,380885820,1,2.625458726712378e-08,LOW
02b21ca992bf95e3f324302265ad86cec24f36166fd7afca44efa0809aaa8b25c5,200,361074195,2,5.539027789011619e-07,LOW
0231eccc6510eb2e1c97c8a190d6ea096784aa7c358355442055aac8b20654f932,600,325978535,3,1.84061198998885e-06,LOW
023d70f2f76d283c6c4e58109ee3a2816eb9d8feb40b23d62469060a2b2867b77f,140,288730323,1,4.848815273205648e-07,LOW
03627ebe50fc6eb80b0caab0c3714958c701eda735e3c29588e83150d6d4a93976,250,284756481,2,8.779431432852972e-07,LOW
02ad4afb6e50ae4635ec5ddf5a57c44d4cc4b376ac6580f78cda0454a86e5fa6c2,330,235092372,7,1.403703562104516e-06,LOW
03c436af41160a355fc1ed230a64f6a64bcbd2ae50f12171d1318f9782602be601,270,209602975,4,1.288149655318585e-06,LOW
031678745383bd273b4c3dbefc8ffbf4847d85c2f62d3407c0c980430b3257c403,210,199715307,4,1.0514967688480684e-06,LOW
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,10,199390625,1,5.0152809340960746e-08,LOW
034cfb8dcb453372e8f13915cc770bcd7bb0f0809dd1b47c0c3b43b969ff9ff3b7,520,182033991,4,2.856609346108332e-06,LOW
