node,closeness_pickhardt,avg_ppm,avg_base,bc_ppm,bc_base,degree,exp_cap,bc_standard,ec_standard,median_base,median_ppm,closeness_standard,degree_2_hops,bc_capacity,bc_pickhardt,ec_pickhardt
0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266,1.1629726941797777e-10,1.0,1000.0,0.012585683747732326,0.0,47,69842179,0.001041460691899875,0.013266947285709119,1000.0,1.0,0.46357308584686774,796,0.0,0.0050686959504594765,0.003609139793491468
0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3,1.1629729832493988e-10,1.0,1000.0,0.08575899644858634,5.9765320001109406e-05,255,1128840229,0.01314869609323888,0.08642150659676996,1000.0,1.0,0.5698802053622362,989,5.9765320001109406e-05,0.0662942835955528,1.1721033368666747e-05
03c8dfbf829eaeb0b6dab099d87fdf7f8faceb0c1b935cd243e8c1fb5af71361cf,1.1629727211894077e-10,2739.3478260869565,21.73913043478261,0.0012034942831840856,0.0010592505009225513,46,123680952,0.00032745117555920203,0.016793917798739073,0.0,3000.0,0.47982708933717577,869,0.0010592505009225513,0.001001001001001001,2.0244037966848452e-07
03c2abfa93eacec04721c019644584424aab2ba4dff3ac9bdab4e9c97007491dda,1.1629727698035226e-10,7.282258064516129,1165.3225806451612,0.025213988619514346,0.0,124,406951897,0.0037718406966073155,0.045639676411904424,1000.0,1.0,0.5302547770700637,989,0.0,0.01821678057483001,0.003603437574948834
02315fe3619ffdea2561bcacecada87b226723f471a59fdbfec18c4e84bcf785b2,1.1629729633039272e-10,865.3846153846154,711.5384615384615,0.015850404676007755,0.0006884557620187181,52,170251586,0.0004557395935194797,0.01847215757830178,1000.0,0.0,0.4870794734275963,894,0.0006884557620187181,0.007648000494805215,1.5877400542596136e-07
02004c625d622245606a1ea2c1c69cfb4516b703b47945a3647713c05fe4aaeb1c,1.1629716509581662e-10,1.0,1000.0,0.0014969693919038548,0.0,17,10217039,7.780607771301076e-05,0.004782741371142706,1000.0,1.0,0.40428976123027116,510,0.0,1.0030070150310631e-06,7.719656141894826e-08
035b1ff29e8db1ba8f2a4f4f95db239b54069cb949b8cde329418e2a83da4f1b30,1.1629731528279727e-10,203.30555555555554,1000.0,0.0006868062412738519,0.0,216,961543050,0.0072288212717505265,0.09369042636932805,1000.0,200.0,0.558412520961431,992,0.0,0.00012320269501298227,0.0031944814836800334
03a09f56bba3d2c200cc55eda2f1f069564a97c1fb74345e1560e2868a8ab3d7d0,1.1629727523781324e-10,1.8709677419354838,48.38709677419355,0.0064480530024310775,0.001426278105623672,62,175656305,0.0007448425042456924,0.030701788303050953,0.0,1.0,0.5081383519837233,969,0.001426278105623672,0.004564016254063014,0.0021201337454463355
0260fab633066ed7b1d9b9b8a0fac87e1579d1709e874d28a0d171a1f5c43bb877,1.1629730255013408e-10,103.7344398340249,4.149377593360996,0.00099999799398597,0.020856349140894025,241,2878381615,0.011281932600459708,0.08700782597743,0.0,100.0,0.5666477595008508,993,0.020856349140894025,0.0009999979939859698,0.005334913769403488
02f1a8c87607f415c8f22c00593002775941dea48869ce23096af27b0cfdcc0b69,1.1629731188834438e-10,602.9411764705883,0.0,0.006171473735059052,0.0892563080549771,476,13921120783,0.052341178475992046,0.15495539007118928,0.0,500.0,0.6563731931668857,999,0.0892563080549771,0.005863579009871595,0.00799490577716425
0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f,1.1629729695877329e-10,1493.1167108753316,16745.915119363395,0.002318178480750886,0.027187664363201348,377,1750545611,0.03368976395825514,0.10760948723810368,0.0,47.0,0.6102626756261453,983,0.027187664363201348,0.030976199980876,1.3527827315344154e-05
03d607f3e69fd032524a867b288216bfab263b6eaee4e07783799a6fe69bb84fac,1.16297322747957e-10,152.01149425287358,1000.0,0.00798043172490993,0.0,174,8713234849,0.007069851113424312,0.06204283478289902,1000.0,200.0,0.5441176470588235,987,0.0,0.008023053113233473,0.002121764244522049
037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,1.1629729990619425e-10,3009.5927710843375,892.9301204819277,0.005580179908258611,0.0027150596456286683,415,8734397330,0.0382289178005503,0.13033091132409794,1000.0,300.0,0.6267252195734002,988,0.0027150596456286683,0.005954351144731906,0.02030063785222253
